step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.9175,-0.0597,0.4229,0.0945,0.4826,1.5108
50000,50000,0.835,-0.0596,0.4208,0.0988,0.4804,1.5591
75000,75000,0.7525,-0.056,0.423,0.098,0.479,1.5475
100000,100000,0.67,-0.0609,0.4226,0.0939,0.4835,1.5282
125000,125000,0.5874999999999999,-0.0467,0.4316,0.0901,0.4783,1.5225
150000,150000,0.505,-0.0463,0.4276,0.0985,0.4739,1.5756
175000,175000,0.4225,-0.0516,0.4252,0.098,0.4768,1.5628
200000,200000,0.3400000000000001,-0.0493,0.4276,0.0955,0.4769,1.5525
