algo,reward,n_seeds,mean_eval_return,std_eval_return,mean_win_rate,std_win_rate,mean_draw_rate,std_draw_rate,mean_loss_rate,std_loss_rate,mean_ep_len,std_ep_len
a2c,r0,3,-0.04763333333333333,0.00797050116924205,0.42799999999999994,0.005611298126696424,0.09636666666666667,0.0033079029946814077,0.47563333333333335,0.0023976840677805778,1.5327000000000002,0.012415313125330316
a2c,r1,3,-0.049166666666666664,0.00674800382006083,0.42883333333333334,0.002948822740612859,0.09316666666666666,0.00116141675934562,0.478,0.0038401388863772306,1.5102,0.009512447984965144
a2c,r2,3,-0.049833333333333334,0.006053832578531463,0.4265333333333334,0.0039041288685470257,0.0971,0.0026127890589687248,0.47636666666666666,0.002548637980482048,1.5326666666666666,0.011082819536962992
doubleq,r0,3,-0.049833333333333334,0.0027716822007983195,0.4282000000000001,0.0012832251036613482,0.09376666666666666,0.0006548960901462849,0.4780333333333333,0.0015520595635763635,1.5516666666666665,0.006491190611556187
doubleq,r1,3,-0.04956666666666667,0.002935226661700177,0.4286666666666667,0.0010208928554075616,0.0931,0.00283901391331568,0.4782333333333333,0.00270102861065105,1.5592333333333332,0.0032785498149164893
doubleq,r2,3,-0.05619999999999999,0.005040502620440413,0.4235,0.002947315162426072,0.0968,0.0009416297927883659,0.4797,0.0021118712081942873,1.5611666666666668,0.014652038159321873
