step,update,loss,policy_loss,value_loss,entropy,approx_kl,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
2560,10,0.36146649718284607,-0.03035685047507286,0.7836467027664185,0.6868874430656433,1.6298145055770874e-09,-0.1813,0.3822,0.0543,0.5635,1.0
5120,20,0.27744507789611816,-0.062392350286245346,0.6796748638153076,0.6622054576873779,2.3283064365386963e-09,-0.1813,0.3822,0.0543,0.5635,1.0
7680,30,0.27604520320892334,-0.07083648443222046,0.6937633752822876,0.5967878103256226,1.979060471057892e-09,-0.1813,0.3822,0.0543,0.5635,1.0
10240,40,0.26770269870758057,-0.10025712847709656,0.7359196543693542,0.48010480403900146,8.614733815193176e-09,-0.1813,0.3822,0.0543,0.5635,1.0
12800,50,0.25499600172042847,-0.07858572900295258,0.6671634316444397,0.365959495306015,6.752088665962219e-09,-0.1813,0.3822,0.0543,0.5635,1.0
15360,60,0.26608628034591675,-0.07235836237668991,0.6768893003463745,0.27775269746780396,4.190951585769653e-09,-0.1813,0.3822,0.0543,0.5635,1.0
17920,70,0.2847191095352173,-0.0262993723154068,0.6220369338989258,0.19079715013504028,4.6566128730773926e-09,-0.1813,0.3822,0.0543,0.5635,1.0
20480,80,0.22711890935897827,-0.0788644552230835,0.6119667291641235,0.1357952505350113,6.51925802230835e-09,-0.1813,0.3822,0.0543,0.5635,1.0
23040,90,0.31472599506378174,0.0051595293916761875,0.619132936000824,0.10008624196052551,6.984919309616089e-09,-0.1813,0.3822,0.0543,0.5635,1.0
25600,100,0.2718123495578766,-0.01150586549192667,0.5666364431381226,0.07522223889827728,4.656612873077393e-10,-0.1813,0.3822,0.0543,0.5635,1.0
28160,110,0.24649284780025482,-0.02214803360402584,0.5372817516326904,0.07451847195625305,1.862645149230957e-09,-0.1813,0.3822,0.0543,0.5635,1.0
30720,120,0.25435230135917664,-0.00011945742880925536,0.508943498134613,0.06015473231673241,9.313225746154785e-10,-0.1813,0.3822,0.0543,0.5635,1.0
33280,130,0.29873454570770264,-0.01795767806470394,0.6333844661712646,0.05555451661348343,2.3283064365386963e-09,-0.1813,0.3822,0.0543,0.5635,1.0
