step,update,loss,policy_loss,value_loss,entropy,approx_kl,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
2560,10,0.14639630913734436,-0.07058849930763245,0.4472275972366333,0.6628992557525635,0.0009583237115293741,-0.1746,0.3867,0.052,0.5613,1.0
5120,20,0.11560077965259552,-0.09932282567024231,0.4405267834663391,0.5339785218238831,0.0016102633671835065,-0.1746,0.3867,0.052,0.5613,1.0
7680,30,0.1392906904220581,-0.06660397350788116,0.41791418194770813,0.3062431216239929,0.000508233206346631,-0.1746,0.3867,0.052,0.5613,1.0
10240,40,0.14171907305717468,-0.05928958207368851,0.4052373170852661,0.16100147366523743,0.0009973947890102863,-0.1746,0.3867,0.052,0.5613,1.0
12800,50,0.1441412717103958,-0.04411427676677704,0.3783974051475525,0.09431500732898712,2.261018380522728e-05,-0.1746,0.3867,0.052,0.5613,1.0
15360,60,0.18961018323898315,0.0002099582925438881,0.38003042340278625,0.061498839408159256,4.338659346103668e-05,-0.1746,0.3867,0.052,0.5613,1.0
17920,70,0.13127048313617706,-0.026314832270145416,0.31619253754615784,0.051094453781843185,0.00021324073895812035,-0.1746,0.3867,0.052,0.5613,1.0
20480,80,0.17213304340839386,0.0004382524057291448,0.34440451860427856,0.050747063010931015,0.00036405352875590324,-0.1746,0.3867,0.052,0.5613,1.0
23040,90,0.17798256874084473,-0.00014696118887513876,0.35745319724082947,0.05970677733421326,1.4932826161384583e-05,-0.1746,0.3867,0.052,0.5613,1.0
25600,100,0.19151802361011505,0.00403878977522254,0.37610486149787903,0.05732038617134094,0.00011992175132036209,-0.1746,0.3867,0.052,0.5613,1.0
28160,110,0.13307736814022064,-0.02123200334608555,0.30995088815689087,0.06660714745521545,9.098183363676071e-05,-0.1746,0.3867,0.052,0.5613,1.0
30720,120,0.19852615892887115,0.01147031132131815,0.37586092948913574,0.08746211975812912,0.00010587600991129875,-0.1746,0.3867,0.052,0.5613,1.0
33280,130,0.148222416639328,-0.025285720825195312,0.34934157133102417,0.11626413464546204,0.00022190343588590622,-0.1746,0.3867,0.052,0.5613,1.0
35840,140,0.07082439959049225,-0.09250886738300323,0.329456627368927,0.13950450718402863,0.000592200318351388,-0.1746,0.3867,0.052,0.5613,1.0
38400,150,0.20017802715301514,0.03020506724715233,0.3437594175338745,0.19067583978176117,0.0017017663922160864,-0.1746,0.3867,0.052,0.5613,1.0
40960,160,0.20268340408802032,0.0407944992184639,0.32810068130493164,0.2161434292793274,0.0003195912577211857,-0.1746,0.3867,0.052,0.5613,1.0
43520,170,0.1689848154783249,-0.008639812469482422,0.36062246561050415,0.2686600685119629,0.0019264715956524014,-0.1746,0.3867,0.052,0.5613,1.0
46080,180,0.13875482976436615,-0.046986885368824005,0.37985533475875854,0.41859620809555054,0.0003123159985989332,-0.1476,0.3963,0.0598,0.5439,1.0719
48640,190,0.10524220764636993,-0.06549130380153656,0.3506982922554016,0.4615632891654968,0.0032042255625128746,-0.112,0.4045,0.079,0.5165,1.3176
51200,200,0.2282656580209732,0.035086438059806824,0.3957561254501343,0.46988385915756226,6.905803456902504e-05,-0.0703,0.42,0.0897,0.4903,1.4997
