alpha,gamma,eps_end,eps_decay_episodes,eps_start,mean_eval_return
0.05,0.9,0.05,50000,1.0,-0.056966666666666665
0.05,0.9,0.05,100000,1.0,-0.0546
0.05,0.9,0.05,200000,1.0,-0.06078333333333333
0.05,0.9,0.05,300000,1.0,-0.05598333333333333
0.05,0.9,0.1,50000,1.0,-0.060200000000000004
0.05,0.9,0.1,100000,1.0,-0.05235
0.05,0.9,0.1,200000,1.0,-0.054
0.05,0.9,0.1,300000,1.0,-0.0657
0.05,0.95,0.01,50000,1.0,-0.05963333333333334
0.05,0.95,0.01,100000,1.0,-0.055233333333333336
0.05,0.95,0.01,200000,1.0,-0.05818333333333334
0.05,0.95,0.01,300000,1.0,-0.057350000000000005
0.05,0.95,0.05,50000,1.0,-0.05065
0.05,0.95,0.05,100000,1.0,-0.055900000000000005
0.05,0.95,0.05,200000,1.0,-0.05686666666666667
0.05,0.95,0.05,300000,1.0,-0.06291666666666666
0.05,0.95,0.1,50000,1.0,-0.05121666666666667
0.05,0.95,0.1,100000,1.0,-0.05983333333333333
0.05,0.95,0.1,200000,1.0,-0.057183333333333336
0.05,0.95,0.1,300000,1.0,-0.056266666666666666
0.05,0.99,0.01,50000,1.0,-0.0588
0.05,0.99,0.01,100000,1.0,-0.056916666666666664
0.05,0.99,0.01,200000,1.0,-0.05676666666666667
0.05,0.99,0.01,300000,1.0,-0.06163333333333334
0.05,0.99,0.05,50000,1.0,-0.05726666666666667
0.05,0.99,0.05,100000,1.0,-0.05753333333333333
0.05,0.99,0.05,200000,1.0,-0.06063333333333334
0.05,0.99,0.05,300000,1.0,-0.0608
0.05,0.99,0.1,50000,1.0,-0.05598333333333333
0.05,0.99,0.1,100000,1.0,-0.05951666666666666
0.05,0.99,0.1,200000,1.0,-0.06051666666666666
0.05,0.99,0.1,300000,1.0,-0.06476666666666667
0.05,1.0,0.01,50000,1.0,-0.055299999999999995
0.05,1.0,0.01,100000,1.0,-0.051166666666666666
0.05,1.0,0.01,200000,1.0,-0.05836666666666667
0.05,1.0,0.01,300000,1.0,-0.06153333333333333
0.05,1.0,0.05,50000,1.0,-0.059133333333333336
0.05,1.0,0.05,100000,1.0,-0.05955
0.05,1.0,0.05,200000,1.0,-0.06005
0.05,1.0,0.05,300000,1.0,-0.06008333333333333
0.05,1.0,0.1,50000,1.0,-0.06003333333333333
0.05,1.0,0.1,100000,1.0,-0.06375
0.05,1.0,0.1,200000,1.0,-0.057333333333333326
0.05,1.0,0.1,300000,1.0,-0.05811666666666667
0.1,0.9,0.01,50000,1.0,-0.06063333333333334
0.1,0.9,0.01,100000,1.0,-0.06418333333333333
0.1,0.9,0.01,200000,1.0,-0.06296666666666667
0.1,0.9,0.01,300000,1.0,-0.06463333333333333
0.1,0.9,0.05,50000,1.0,-0.05946666666666667
0.1,0.9,0.05,100000,1.0,-0.06046666666666667
0.1,0.9,0.05,200000,1.0,-0.06506666666666666
0.1,0.9,0.05,300000,1.0,-0.06888333333333334
0.1,0.9,0.1,50000,1.0,-0.06661666666666667
0.1,0.9,0.1,100000,1.0,-0.059666666666666666
0.1,0.9,0.1,200000,1.0,-0.0635
0.1,0.9,0.1,300000,1.0,-0.06238333333333334
0.1,0.95,0.01,50000,1.0,-0.05354999999999999
0.1,0.95,0.01,100000,1.0,-0.05901666666666666
0.1,0.95,0.01,200000,1.0,-0.06358333333333334
0.1,0.95,0.01,300000,1.0,-0.06708333333333334
0.1,0.95,0.05,50000,1.0,-0.054049999999999994
0.1,0.95,0.05,100000,1.0,-0.06113333333333334
0.1,0.95,0.05,200000,1.0,-0.06526666666666667
0.1,0.95,0.05,300000,1.0,-0.05905
0.1,0.95,0.1,50000,1.0,-0.05425
0.1,0.95,0.1,100000,1.0,-0.062433333333333334
0.1,0.95,0.1,200000,1.0,-0.06143333333333333
0.1,0.95,0.1,300000,1.0,-0.06576666666666667
0.1,0.99,0.01,50000,1.0,-0.0612
0.1,0.99,0.01,100000,1.0,-0.05828333333333333
0.1,0.99,0.01,200000,1.0,-0.05876666666666667
0.1,0.99,0.01,300000,1.0,-0.0651
0.1,0.99,0.05,50000,1.0,-0.064
0.1,0.99,0.05,100000,1.0,-0.059416666666666666
0.1,0.99,0.05,200000,1.0,-0.07198333333333333
0.1,0.99,0.05,300000,1.0,-0.06603333333333333
0.1,0.99,0.1,50000,1.0,-0.06055
0.1,0.99,0.1,100000,1.0,-0.062200000000000005
0.1,0.99,0.1,200000,1.0,-0.057999999999999996
0.1,0.99,0.1,300000,1.0,-0.05675
0.1,1.0,0.01,50000,1.0,-0.061099999999999995
0.1,1.0,0.01,100000,1.0,-0.06748333333333333
0.1,1.0,0.01,200000,1.0,-0.06403333333333333
0.1,1.0,0.01,300000,1.0,-0.05983333333333333
0.1,1.0,0.05,50000,1.0,-0.06166666666666667
0.1,1.0,0.05,100000,1.0,-0.06268333333333333
0.1,1.0,0.05,200000,1.0,-0.06663333333333334
0.1,1.0,0.05,300000,1.0,-0.06581666666666666
0.1,1.0,0.1,50000,1.0,-0.06128333333333333
0.1,1.0,0.1,100000,1.0,-0.0634
0.1,1.0,0.1,200000,1.0,-0.0635
0.1,1.0,0.1,300000,1.0,-0.057633333333333335
0.2,0.9,0.01,50000,1.0,-0.06446666666666667
0.2,0.9,0.01,100000,1.0,-0.05998333333333333
0.2,0.9,0.01,200000,1.0,-0.06768333333333333
0.2,0.9,0.01,300000,1.0,-0.07018333333333333
0.2,0.9,0.05,50000,1.0,-0.0698
0.2,0.9,0.05,100000,1.0,-0.06576666666666667
0.2,0.9,0.05,200000,1.0,-0.06895
0.2,0.9,0.05,300000,1.0,-0.07813333333333333
0.2,0.9,0.1,50000,1.0,-0.08106666666666666
0.2,0.9,0.1,100000,1.0,-0.065
0.2,0.9,0.1,200000,1.0,-0.0766
0.2,0.9,0.1,300000,1.0,-0.0796
0.2,0.95,0.01,50000,1.0,-0.06981666666666667
0.2,0.95,0.01,100000,1.0,-0.07071666666666666
0.2,0.95,0.01,200000,1.0,-0.07176666666666666
0.2,0.95,0.01,300000,1.0,-0.08075
0.2,0.95,0.05,50000,1.0,-0.0679
0.2,0.95,0.05,100000,1.0,-0.06968333333333333
0.2,0.95,0.05,200000,1.0,-0.07056666666666667
0.2,0.95,0.05,300000,1.0,-0.08431666666666666
0.2,0.95,0.1,50000,1.0,-0.06583333333333334
0.2,0.95,0.1,100000,1.0,-0.063
0.2,0.95,0.1,200000,1.0,-0.06815
0.2,0.95,0.1,300000,1.0,-0.07456666666666667
0.2,0.99,0.01,50000,1.0,-0.07128333333333332
0.2,0.99,0.01,100000,1.0,-0.0707
0.2,0.99,0.01,200000,1.0,-0.06976666666666667
0.2,0.99,0.01,300000,1.0,-0.07973333333333334
0.2,0.99,0.05,50000,1.0,-0.06121666666666667
0.2,0.99,0.05,100000,1.0,-0.0657
0.2,0.99,0.05,200000,1.0,-0.07816666666666666
0.2,0.99,0.05,300000,1.0,-0.07816666666666666
0.2,0.99,0.1,50000,1.0,-0.07206666666666667
0.2,0.99,0.1,100000,1.0,-0.06793333333333333
0.2,0.99,0.1,200000,1.0,-0.07683333333333332
0.2,0.99,0.1,300000,1.0,-0.08456666666666668
0.2,1.0,0.01,50000,1.0,-0.061883333333333325
0.2,1.0,0.01,100000,1.0,-0.06655
0.2,1.0,0.01,200000,1.0,-0.0778
0.2,1.0,0.01,300000,1.0,-0.07763333333333333
0.2,1.0,0.05,50000,1.0,-0.06696666666666667
0.2,1.0,0.05,100000,1.0,-0.06346666666666667
0.2,1.0,0.05,200000,1.0,-0.07243333333333334
0.2,1.0,0.05,300000,1.0,-0.06641666666666667
0.2,1.0,0.1,50000,1.0,-0.07011666666666667
0.2,1.0,0.1,100000,1.0,-0.06453333333333333
0.2,1.0,0.1,200000,1.0,-0.07825
0.2,1.0,0.1,300000,1.0,-0.08486666666666666
0.3,0.9,0.01,50000,1.0,-0.07853333333333333
0.3,0.9,0.01,100000,1.0,-0.06815
0.3,0.9,0.01,200000,1.0,-0.07303333333333334
0.3,0.9,0.01,300000,1.0,-0.08816666666666667
0.3,0.9,0.05,50000,1.0,-0.07618333333333333
0.3,0.9,0.05,100000,1.0,-0.07148333333333333
0.3,0.9,0.05,200000,1.0,-0.08048333333333334
0.3,0.9,0.05,300000,1.0,-0.07745
0.3,0.9,0.1,50000,1.0,-0.06376666666666667
0.3,0.9,0.1,100000,1.0,-0.06971666666666666
0.3,0.9,0.1,200000,1.0,-0.08178333333333333
0.3,0.9,0.1,300000,1.0,-0.0881
0.3,0.95,0.01,50000,1.0,-0.07471666666666667
0.3,0.95,0.01,100000,1.0,-0.0696
0.3,0.95,0.01,200000,1.0,-0.08574999999999999
0.3,0.95,0.01,300000,1.0,-0.0906
0.3,0.95,0.05,50000,1.0,-0.06861666666666667
0.3,0.95,0.05,100000,1.0,-0.07153333333333334
0.3,0.95,0.05,200000,1.0,-0.08201666666666667
0.3,0.95,0.05,300000,1.0,-0.07881666666666666
0.3,0.95,0.1,50000,1.0,-0.07726666666666666
0.3,0.95,0.1,100000,1.0,-0.06933333333333334
0.3,0.95,0.1,200000,1.0,-0.07813333333333333
0.3,0.95,0.1,300000,1.0,-0.08368333333333333
0.3,0.99,0.01,50000,1.0,-0.07286666666666668
0.3,0.99,0.01,100000,1.0,-0.07466666666666667
0.3,0.99,0.01,200000,1.0,-0.08663333333333334
0.3,0.99,0.01,300000,1.0,-0.0921
0.3,0.99,0.05,50000,1.0,-0.07028333333333334
0.3,0.99,0.05,100000,1.0,-0.07331666666666667
0.3,0.99,0.05,200000,1.0,-0.07466666666666667
0.3,0.99,0.05,300000,1.0,-0.09086666666666667
0.3,0.99,0.1,50000,1.0,-0.07971666666666667
0.3,0.99,0.1,100000,1.0,-0.06783333333333333
0.3,0.99,0.1,200000,1.0,-0.08208333333333333
0.3,0.99,0.1,300000,1.0,-0.0837
0.3,1.0,0.01,50000,1.0,-0.07455
0.3,1.0,0.01,100000,1.0,-0.06426666666666667
0.3,1.0,0.01,200000,1.0,-0.07608333333333334
0.3,1.0,0.01,300000,1.0,-0.09096666666666668
0.3,1.0,0.05,50000,1.0,-0.07984999999999999
0.3,1.0,0.05,100000,1.0,-0.07455
0.3,1.0,0.05,200000,1.0,-0.09008333333333333
0.3,1.0,0.05,300000,1.0,-0.10946666666666667
0.3,1.0,0.1,50000,1.0,-0.07133333333333333
0.3,1.0,0.1,100000,1.0,-0.07616666666666667
0.3,1.0,0.1,200000,1.0,-0.08528333333333334
0.3,1.0,0.1,300000,1.0,-0.08751666666666667
