alpha,gamma,eps_end,eps_decay_episodes,eps_start,mean_eval_return
0.02,0.9,0.01,50000,1.0,-0.05636666666666667
0.02,0.9,0.01,100000,1.0,-0.05456666666666667
0.02,0.9,0.01,200000,1.0,-0.051833333333333335
0.02,0.9,0.01,300000,1.0,-0.051116666666666664
0.02,0.9,0.05,50000,1.0,-0.05225
0.02,0.9,0.05,100000,1.0,-0.05433333333333334
0.02,0.9,0.05,200000,1.0,-0.0574
0.02,0.9,0.05,300000,1.0,-0.05345
0.02,0.9,0.1,50000,1.0,-0.055683333333333335
0.02,0.9,0.1,100000,1.0,-0.05328333333333333
0.02,0.9,0.1,200000,1.0,-0.059033333333333333
0.02,0.9,0.1,300000,1.0,-0.05516666666666667
0.02,0.95,0.01,50000,1.0,-0.05453333333333333
0.02,0.95,0.01,100000,1.0,-0.056666666666666664
0.02,0.95,0.01,200000,1.0,-0.05438333333333333
0.02,0.95,0.01,300000,1.0,-0.053516666666666664
0.02,0.95,0.05,50000,1.0,-0.059133333333333336
0.02,0.95,0.05,100000,1.0,-0.047850000000000004
0.02,0.95,0.05,200000,1.0,-0.05455000000000001
0.02,0.95,0.05,300000,1.0,-0.05333333333333334
0.02,0.95,0.1,50000,1.0,-0.05448333333333333
0.02,0.95,0.1,100000,1.0,-0.0569
0.02,0.95,0.1,200000,1.0,-0.05288333333333334
0.02,0.95,0.1,300000,1.0,-0.062383333333333325
0.02,0.99,0.01,50000,1.0,-0.05773333333333333
0.02,0.99,0.01,100000,1.0,-0.05575
0.02,0.99,0.01,200000,1.0,-0.05383333333333334
0.02,0.99,0.01,300000,1.0,-0.05363333333333333
0.02,0.99,0.05,50000,1.0,-0.05723333333333333
0.02,0.99,0.05,100000,1.0,-0.05043333333333333
0.02,0.99,0.05,200000,1.0,-0.05333333333333334
0.02,0.99,0.05,300000,1.0,-0.057716666666666666
0.02,0.99,0.1,50000,1.0,-0.051416666666666666
0.02,0.99,0.1,100000,1.0,-0.06005
0.02,0.99,0.1,200000,1.0,-0.05698333333333333
0.02,0.99,0.1,300000,1.0,-0.051333333333333335
0.02,1.0,0.01,50000,1.0,-0.05976666666666667
0.02,1.0,0.01,100000,1.0,-0.05353333333333333
0.02,1.0,0.01,200000,1.0,-0.056383333333333334
0.02,1.0,0.01,300000,1.0,-0.057600000000000005
0.02,1.0,0.05,50000,1.0,-0.05641666666666667
0.02,1.0,0.05,100000,1.0,-0.058600000000000006
0.02,1.0,0.05,200000,1.0,-0.05603333333333333
0.02,1.0,0.05,300000,1.0,-0.054400000000000004
0.02,1.0,0.1,50000,1.0,-0.05963333333333334
0.02,1.0,0.1,100000,1.0,-0.056883333333333334
0.02,1.0,0.1,200000,1.0,-0.05578333333333333
0.02,1.0,0.1,300000,1.0,-0.056516666666666666
0.05,0.9,0.01,50000,1.0,-0.06236666666666666
0.05,0.9,0.01,100000,1.0,-0.053799999999999994
0.05,0.9,0.01,200000,1.0,-0.05943333333333333
0.05,0.9,0.01,300000,1.0,-0.05598333333333333
