step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.7625,-0.0575,0.4259,0.0907,0.4834,1.4988
50000,50000,0.525,-0.0578,0.4238,0.0946,0.4816,1.5219
75000,75000,0.2875000000000001,-0.0538,0.4242,0.0978,0.478,1.5581
100000,100000,0.050000000000000044,-0.0534,0.4246,0.0974,0.478,1.5386
125000,125000,0.050000000000000044,-0.0516,0.426,0.0964,0.4776,1.5283
150000,150000,0.050000000000000044,-0.0425,0.4305,0.0965,0.473,1.5465
175000,175000,0.050000000000000044,-0.0434,0.43,0.0966,0.4734,1.5441
200000,200000,0.050000000000000044,-0.0468,0.4293,0.0946,0.4761,1.5479
