step,update,loss,policy_loss,value_loss,entropy,approx_kl,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
2560,10,0.16159018874168396,-0.044388074427843094,0.4256576597690582,0.6850574612617493,0.0012771585024893284,-0.1726,0.386,0.0554,0.5586,1.0
5120,20,0.10094060003757477,-0.11481939256191254,0.44324782490730286,0.5863921642303467,0.0002463054843246937,-0.1726,0.386,0.0554,0.5586,1.0
7680,30,0.15771932899951935,-0.056966669857501984,0.436947226524353,0.378762423992157,0.00041222083382308483,-0.1726,0.386,0.0554,0.5586,1.0
10240,40,0.17619779706001282,-0.03340338170528412,0.4235031306743622,0.21503911912441254,5.90314157307148e-05,-0.1726,0.386,0.0554,0.5586,1.0
12800,50,0.17324121296405792,-0.04163587838411331,0.4326629042625427,0.1454373300075531,0.00027590803802013397,-0.1726,0.386,0.0554,0.5586,1.0
15360,60,0.16891570389270782,-0.0182326827198267,0.37651675939559937,0.11099889874458313,0.00021793227642774582,-0.1726,0.386,0.0554,0.5586,1.0
17920,70,0.1362193524837494,-0.039798155426979065,0.35400933027267456,0.09871581196784973,6.202002987265587e-05,-0.1726,0.386,0.0554,0.5586,1.0
20480,80,0.12410007417201996,-0.04249052703380585,0.3349422514438629,0.0880526602268219,0.00014423811808228493,-0.1726,0.386,0.0554,0.5586,1.0
23040,90,0.20132949948310852,0.044346295297145844,0.31571054458618164,0.08720755577087402,0.0004942896775901318,-0.1726,0.386,0.0554,0.5586,1.0
25600,100,0.17030936479568481,-0.0066670021042227745,0.356184184551239,0.11157189309597015,8.407025597989559e-05,-0.1726,0.386,0.0554,0.5586,1.0
28160,110,0.20207473635673523,0.03877822682261467,0.3285958170890808,0.10014035552740097,9.189709089696407e-05,-0.1726,0.386,0.0554,0.5586,1.0
30720,120,0.2438916116952896,0.03467084839940071,0.4216284453868866,0.15934506058692932,8.782010991126299e-05,-0.1726,0.386,0.0554,0.5586,1.0
33280,130,0.14658361673355103,-0.015869997441768646,0.3299289345741272,0.2510845363140106,0.001025751931592822,-0.1726,0.386,0.0554,0.5586,1.0
35840,140,0.1045580729842186,-0.05038098618388176,0.31599774956703186,0.30598127841949463,0.0012076044222339988,-0.1664,0.3888,0.056,0.5552,1.0045
38400,150,0.13825608789920807,-0.0257797222584486,0.33498716354370117,0.3457774519920349,0.00016994611360132694,-0.1626,0.3898,0.0578,0.5524,1.0109
40960,160,0.1529453843832016,-0.04128524661064148,0.39683228731155396,0.41855162382125854,0.0003499069716781378,-0.1223,0.4053,0.0671,0.5276,1.1092
43520,170,0.13924890756607056,-0.03788132593035698,0.36290132999420166,0.432043194770813,0.0017951633781194687,-0.0999,0.4122,0.0757,0.5121,1.2384
46080,180,0.09905143827199936,-0.0770341008901596,0.3615014851093292,0.46652066707611084,0.0019941218197345734,-0.0613,0.4237,0.0913,0.485,1.4489
48640,190,0.047698184847831726,-0.13267305493354797,0.3688839077949524,0.4070715308189392,3.6672456189990044e-05,-0.0595,0.4215,0.0975,0.481,1.4847
51200,200,0.13457579910755157,-0.06294510513544083,0.4020160734653473,0.3487119972705841,0.00022227573208510876,-0.0528,0.425,0.0972,0.4778,1.5218
53760,210,0.17606018483638763,-0.0083281509578228,0.37506037950515747,0.31418466567993164,0.0002921592677012086,-0.058,0.4219,0.0982,0.4799,1.5508
56320,220,0.14734132587909698,-0.031404804438352585,0.36339062452316284,0.29491716623306274,0.0006260243244469166,-0.0601,0.421,0.0979,0.4811,1.5931
58880,230,0.12105762213468552,-0.037582505494356155,0.3232973515987396,0.3008553087711334,0.001130606746301055,-0.0564,0.4227,0.0982,0.4791,1.5159
61440,240,0.13751085102558136,-0.0369512215256691,0.35422462224960327,0.2650248408317566,0.0009607730899006128,-0.0777,0.4178,0.0867,0.4955,1.3956
64000,250,0.17674587666988373,0.016948867589235306,0.3246666193008423,0.25363001227378845,0.0007880707271397114,-0.0573,0.4233,0.0961,0.4806,1.4671
66560,260,0.17119944095611572,0.01478144247084856,0.3171183168888092,0.21411597728729248,0.0019371615489944816,-0.05,0.4274,0.0952,0.4774,1.5314
69120,270,0.09429997950792313,-0.0553741455078125,0.3037048280239105,0.21782858669757843,4.128145519644022e-05,-0.0545,0.4233,0.0989,0.4778,1.5723
71680,280,0.17101499438285828,0.0016846763901412487,0.34256666898727417,0.19530199468135834,0.0004975836491212249,-0.0622,0.4193,0.0992,0.4815,1.5965
74240,290,0.15470880270004272,-0.0184932928532362,0.34976744651794434,0.16816292703151703,9.324878919869661e-05,-0.0562,0.4226,0.0986,0.4788,1.5873
76800,300,0.17852282524108887,-0.003965330310165882,0.36839067935943604,0.1707177460193634,0.0013245759764686227,-0.0622,0.4197,0.0984,0.4819,1.5976
79360,310,0.13190041482448578,-0.04198819771409035,0.3511456251144409,0.1684199571609497,0.0027272191364318132,-0.0532,0.4245,0.0978,0.4777,1.5564
81920,320,0.15070459246635437,-0.029890339821577072,0.36427968740463257,0.1544903814792633,0.0013131042942404747,-0.0411,0.4315,0.0959,0.4726,1.5194
84480,330,0.11629565060138702,-0.050730593502521515,0.3372047245502472,0.1576121747493744,0.0036498093977570534,-0.0534,0.4253,0.096,0.4787,1.572
87040,340,0.12491236627101898,-0.05430919677019119,0.36142992973327637,0.1493411362171173,1.9270111806690693e-05,-0.0515,0.4258,0.0969,0.4773,1.5934
89600,350,0.18816640973091125,0.003964425530284643,0.3710987865924835,0.13474035263061523,0.00011636503040790558,-0.0487,0.4263,0.0987,0.475,1.5578
92160,360,0.1394982486963272,-0.03658861666917801,0.3545355200767517,0.11809056997299194,7.72927887737751e-05,-0.056,0.4233,0.0974,0.4793,1.5717
94720,370,0.187323659658432,0.014284670352935791,0.3486090302467346,0.12655290961265564,0.0007380042225122452,-0.0474,0.4275,0.0976,0.4749,1.5382
97280,380,0.17295460402965546,-0.005144410766661167,0.3592163324356079,0.15091508626937866,0.00017148267943412066,-0.0474,0.4291,0.0944,0.4765,1.4955
99840,390,0.11685218662023544,-0.041517019271850586,0.3198671340942383,0.15643619000911713,0.0024541234597563744,-0.0424,0.4317,0.0942,0.4741,1.5107
102400,400,0.1944810152053833,0.007836734876036644,0.375824511051178,0.12679634988307953,0.0007307057967409492,-0.0462,0.4278,0.0982,0.474,1.5402
104960,410,0.19401758909225464,0.01795762963593006,0.3543417751789093,0.11109264194965363,0.0002842731773853302,-0.0462,0.4285,0.0968,0.4747,1.5537
107520,420,0.15592005848884583,-0.03617417812347412,0.3869439661502838,0.13777410984039307,0.0005315154558047652,-0.0489,0.4264,0.0983,0.4753,1.5468
110080,430,0.1401624083518982,-0.036374084651470184,0.35544371604919434,0.11853580176830292,0.001191063318401575,-0.0487,0.4273,0.0967,0.476,1.5726
112640,440,0.17581698298454285,-0.0034994399175047874,0.36096468567848206,0.11659227311611176,0.0002686460502445698,-0.054,0.424,0.098,0.478,1.5987
115200,450,0.14175347983837128,-0.010364608839154243,0.30644893646240234,0.11063788831233978,0.000959227210842073,-0.0564,0.4224,0.0988,0.4788,1.6153
117760,460,0.15369005501270294,-0.010659388266503811,0.33041849732398987,0.08598163723945618,0.0005724334623664618,-0.0555,0.4226,0.0993,0.4781,1.6034
120320,470,0.1938983052968979,0.011854400858283043,0.36621779203414917,0.10649818181991577,0.0005171684315428138,-0.0526,0.4243,0.0988,0.4769,1.5874
122880,480,0.16071513295173645,-0.016246333718299866,0.35622739791870117,0.11522333323955536,0.0017033680342137814,-0.0537,0.424,0.0983,0.4777,1.6099
125440,490,0.16849827766418457,-0.004366740584373474,0.3478676974773407,0.10688351094722748,0.00044716347474604845,-0.0571,0.4226,0.0977,0.4797,1.6055
128000,500,0.18206410109996796,0.005457520484924316,0.3549726605415344,0.08797568827867508,0.00019985099788755178,-0.0546,0.4229,0.0996,0.4775,1.6118
130560,510,0.18825869262218475,0.019162913784384727,0.34003138542175293,0.091991126537323,0.0011155058164149523,-0.0498,0.4254,0.0994,0.4752,1.6019
133120,520,0.1287917196750641,-0.0619610920548439,0.3832933306694031,0.08938582241535187,0.00022920244373381138,-0.0501,0.4264,0.0971,0.4765,1.5605
135680,530,0.17395569384098053,0.015314951539039612,0.31964924931526184,0.11838825047016144,0.00042489077895879745,-0.0474,0.4278,0.097,0.4752,1.5495
138240,540,0.1235664039850235,-0.033161334693431854,0.31630146503448486,0.14229930937290192,0.0011336073512211442,-0.0502,0.4282,0.0934,0.4784,1.531
140800,550,0.1772868037223816,0.013639107346534729,0.32948431372642517,0.10944544523954391,5.302950739860535e-06,-0.0473,0.4288,0.0951,0.4761,1.5438
143360,560,0.160517156124115,-0.013333728536963463,0.3493432104587555,0.08207201957702637,5.282857455313206e-05,-0.0482,0.4272,0.0974,0.4754,1.5713
145920,570,0.16939468681812286,0.009243798442184925,0.3228406608104706,0.126944437623024,0.00028115755412727594,-0.0435,0.4309,0.0947,0.4744,1.5337
148480,580,0.1977178007364273,0.022103499621152878,0.3529014587402344,0.08364386111497879,8.921918924897909e-05,-0.0484,0.4281,0.0954,0.4765,1.55
151040,590,0.15533436834812164,-0.021076573058962822,0.3544471859931946,0.08126555383205414,6.112572737038136e-05,-0.0498,0.4277,0.0948,0.4775,1.5397
153600,600,0.14048629999160767,-0.03072027862071991,0.3443383574485779,0.09625937044620514,0.0006751981563866138,-0.0467,0.4289,0.0955,0.4756,1.5516
156160,610,0.17683327198028564,0.018661491572856903,0.3179997205734253,0.08280830085277557,0.0007311637746170163,-0.0446,0.4295,0.0964,0.4741,1.5731
158720,620,0.15444797277450562,-0.007973985746502876,0.32663363218307495,0.08948611468076706,0.001052012317813933,-0.0491,0.4276,0.0957,0.4767,1.5611
161280,630,0.17248676717281342,0.0047587137669324875,0.337210476398468,0.08771911263465881,0.001862656674347818,-0.0431,0.4317,0.0935,0.4748,1.5295
163840,640,0.16558516025543213,-0.004303738474845886,0.3415282666683197,0.08752284198999405,0.0007899960037320852,-0.0435,0.4317,0.0931,0.4752,1.5284
166400,650,0.17205224931240082,0.006387919187545776,0.33270663022994995,0.06889887154102325,0.0005881147226318717,-0.0462,0.4296,0.0946,0.4758,1.5448
168960,660,0.18808677792549133,0.01965579017996788,0.33882299065589905,0.09805157780647278,0.00021722330711781979,-0.0403,0.4328,0.0941,0.4731,1.5704
171520,670,0.18219678103923798,0.00642878795042634,0.35341840982437134,0.09412235766649246,0.0002456426154822111,-0.0405,0.4319,0.0957,0.4724,1.5888
174080,680,0.14357705414295197,0.008155054412782192,0.2726605534553528,0.0908275842666626,7.995194755494595e-05,-0.0506,0.427,0.0954,0.4776,1.5855
176640,690,0.1092754378914833,-0.0302045326679945,0.2808375060558319,0.09387823939323425,0.0009155045263469219,-0.05,0.4266,0.0968,0.4766,1.5743
179200,700,0.11262105405330658,-0.05209759995341301,0.330842524766922,0.0702601745724678,0.0009423961164429784,-0.046,0.4293,0.0954,0.4753,1.5403
181760,710,0.16339094936847687,-0.012827436439692974,0.3538225293159485,0.0692872554063797,3.0039111152291298e-05,-0.0459,0.4298,0.0945,0.4757,1.5349
184320,720,0.17625683546066284,0.0033021606504917145,0.3475700318813324,0.0830334797501564,0.0009259218350052834,-0.0469,0.43,0.0931,0.4769,1.5175
186880,730,0.210544154047966,0.026199474930763245,0.3703449070453644,0.08277680724859238,0.00016693852376192808,-0.0469,0.43,0.0931,0.4769,1.5175
189440,740,0.13765081763267517,-0.0318203866481781,0.34029442071914673,0.06760000437498093,0.00022208841983228922,-0.0475,0.4296,0.0933,0.4771,1.5215
192000,750,0.15846459567546844,-0.007864336483180523,0.33406731486320496,0.07047156989574432,0.0003608994884416461,-0.0459,0.4299,0.0943,0.4758,1.5218
194560,760,0.1550632268190384,-0.021171066910028458,0.3538671135902405,0.06992647051811218,0.0004829057725146413,-0.0446,0.4303,0.0948,0.4749,1.5266
197120,770,0.15060845017433167,-0.023912765085697174,0.35010814666748047,0.05328720062971115,0.0001029203413054347,-0.0461,0.4302,0.0935,0.4763,1.5233
199680,780,0.20817744731903076,0.03253168240189552,0.35272014141082764,0.07142999768257141,0.0007998968940228224,-0.0417,0.4326,0.0931,0.4743,1.5156
199936,781,0.1428224742412567,-0.01191014051437378,0.3108672499656677,0.0701010525226593,0.00021641713101416826,-0.0417,0.4326,0.0931,0.4743,1.5156
