step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.04945,0.4304,0.08975,0.47985,1.5099
50000,50000,0.050000000000000044,-0.06455,0.4216,0.09225,0.48615,1.5457
75000,75000,0.050000000000000044,-0.05125,0.4257,0.09735,0.47695,1.54515
100000,100000,0.050000000000000044,-0.06195,0.42275,0.09255,0.4847,1.56225
125000,125000,0.050000000000000044,-0.05075,0.42665,0.09595,0.4774,1.56925
150000,150000,0.050000000000000044,-0.05145,0.42855,0.09145,0.48,1.53675
175000,175000,0.050000000000000044,-0.04855,0.4283,0.09485,0.47685,1.56045
200000,200000,0.050000000000000044,-0.05505,0.4252,0.09455,0.48025,1.56515
225000,225000,0.050000000000000044,-0.054,0.42435,0.0973,0.47835,1.5926
250000,250000,0.050000000000000044,-0.06645,0.4182,0.09715,0.48465,1.59585
275000,275000,0.050000000000000044,-0.0614,0.4203,0.098,0.4817,1.58935
300000,300000,0.050000000000000044,-0.0547,0.42465,0.096,0.47935,1.5737
325000,325000,0.050000000000000044,-0.04955,0.4271,0.09625,0.47665,1.58395
350000,350000,0.050000000000000044,-0.05195,0.4264,0.09525,0.47835,1.57935
375000,375000,0.050000000000000044,-0.04725,0.42925,0.09425,0.4765,1.5909
400000,400000,0.050000000000000044,-0.04855,0.42875,0.09395,0.4773,1.56855
425000,425000,0.050000000000000044,-0.0584,0.42285,0.0959,0.48125,1.5887
450000,450000,0.050000000000000044,-0.05375,0.42565,0.09495,0.4794,1.56315
475000,475000,0.050000000000000044,-0.0507,0.42625,0.0968,0.47695,1.5863
500000,500000,0.050000000000000044,-0.04675,0.42795,0.09735,0.4747,1.59045
