step,update,loss,policy_loss,value_loss,entropy,approx_kl,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
2560,10,0.1875813901424408,-0.026897108182311058,0.4289569854736328,0.6855612993240356,6.984919309616089e-10,-0.1868,0.38165,0.0499,0.56845,1.0
5120,20,0.1456967145204544,-0.052214350551366806,0.395822137594223,0.662351667881012,5.9371814131736755e-09,-0.1868,0.38165,0.0499,0.56845,1.0
7680,30,0.14742907881736755,-0.08195650577545166,0.4587711691856384,0.6065559983253479,9.42964106798172e-09,-0.1868,0.38165,0.0499,0.56845,1.0
10240,40,0.12698176503181458,-0.10626974701881409,0.4665030241012573,0.5280889868736267,3.958120942115784e-09,-0.1868,0.38165,0.0499,0.56845,1.0
12800,50,0.1318388283252716,-0.07858038693666458,0.42083844542503357,0.3993135690689087,2.3283064365386963e-09,-0.1868,0.38165,0.0499,0.56845,1.0
15360,60,0.1590946763753891,-0.05229504406452179,0.4227794408798218,0.2635873556137085,3.026798367500305e-09,-0.1868,0.38165,0.0499,0.56845,1.0
17920,70,0.14311374723911285,-0.05899481102824211,0.4042171239852905,0.15175768733024597,4.190951585769653e-09,-0.1868,0.38165,0.0499,0.56845,1.0
20480,80,0.16446179151535034,-0.01183236762881279,0.35258832573890686,0.11075108498334885,6.984919309616089e-09,-0.1868,0.38165,0.0499,0.56845,1.0
23040,90,0.18507173657417297,0.013233870267868042,0.34367573261260986,0.09587922692298889,5.587935447692871e-09,-0.1868,0.38165,0.0499,0.56845,1.0
25600,100,0.25734472274780273,0.07602061331272125,0.3626481890678406,0.08467516303062439,1.862645149230957e-09,-0.1868,0.38165,0.0499,0.56845,1.0
28160,110,0.16437004506587982,-0.009640219621360302,0.3480205237865448,0.0860099345445633,3.259629011154175e-09,-0.1868,0.38165,0.0499,0.56845,1.0
30720,120,0.19462387263774872,0.01151306927204132,0.3662216067314148,0.10568815469741821,6.05359673500061e-09,-0.1868,0.38165,0.0499,0.56845,1.0
33280,130,0.1436416059732437,-0.024366233497858047,0.3360156714916229,0.13171043992042542,8.149072527885437e-09,-0.1868,0.38165,0.0499,0.56845,1.0
35840,140,0.19390437006950378,0.016871802508831024,0.3540651202201843,0.14717304706573486,1.6298145055770874e-09,-0.1868,0.38165,0.0499,0.56845,1.0
38400,150,0.20660555362701416,0.01164271216839552,0.38992568850517273,0.17973487079143524,2.0954757928848267e-09,-0.1868,0.38165,0.0499,0.56845,1.0
40960,160,0.05511388182640076,-0.09805051982402802,0.30632880330085754,0.19221724569797516,4.423782229423523e-09,-0.1868,0.38165,0.0499,0.56845,1.0
43520,170,0.15007609128952026,-0.044685207307338715,0.38952258229255676,0.21506507694721222,3.026798367500305e-09,-0.1868,0.38165,0.0499,0.56845,1.0
46080,180,0.20567664504051208,0.025857653468847275,0.359637975692749,0.24093659222126007,1.3969838619232178e-09,-0.1868,0.38165,0.0499,0.56845,1.0
48640,190,0.09369976073503494,-0.0831383541226387,0.3536762297153473,0.2782568633556366,5.820766091346741e-10,-0.1868,0.38165,0.0499,0.56845,1.0
51200,200,0.13750691711902618,-0.010264220647513866,0.29554226994514465,0.39737457036972046,6.752088665962219e-09,-0.15365,0.3942,0.05795,0.54785,1.0687
53760,210,0.19277752935886383,-0.011673320084810257,0.4089016914367676,0.442579448223114,1.979060471057892e-09,-0.1393,0.40015,0.0604,0.53945,1.12165
56320,220,0.08977236598730087,-0.09311044961214066,0.36576563119888306,0.452947199344635,2.561137080192566e-09,-0.08875,0.4202,0.07085,0.50895,1.2635
58880,230,0.16048991680145264,-0.020893173292279243,0.36276617646217346,0.46818599104881287,1.7462298274040222e-09,-0.06935,0.42035,0.08995,0.4897,1.4193
61440,240,0.13102631270885468,-0.042341142892837524,0.3467349112033844,0.38442009687423706,1.1641532182693481e-10,-0.05685,0.422,0.09915,0.47885,1.5351
64000,250,0.1799062192440033,0.006326972506940365,0.3471584916114807,0.3382570743560791,4.423782229423523e-09,-0.05305,0.42405,0.09885,0.4771,1.56525
66560,260,0.11709252744913101,-0.04911880940198898,0.33242267370224,0.382153183221817,2.444721758365631e-09,-0.0653,0.421,0.0927,0.4863,1.47065
69120,270,0.08953369408845901,-0.10332845896482468,0.3857243061065674,0.3192676305770874,1.0943040251731873e-08,-0.053,0.42585,0.0953,0.47885,1.49585
71680,280,0.19579723477363586,0.01335129328072071,0.3648918867111206,0.2784203290939331,3.259629011154175e-09,-0.04785,0.4278,0.09655,0.47565,1.50965
74240,290,0.173545241355896,0.009138785302639008,0.3288128972053528,0.27712592482566833,7.683411240577698e-09,-0.0458,0.4276,0.099,0.4734,1.5417
76800,300,0.11112221330404282,-0.05868095904588699,0.3396063446998596,0.2607768774032593,5.587935447692871e-09,-0.04835,0.4264,0.09885,0.47475,1.5466
79360,310,0.123089998960495,-0.05425874888896942,0.35469749569892883,0.2473563551902771,1.4784745872020721e-08,-0.05095,0.42495,0.09915,0.4759,1.55425
81920,320,0.0742647722363472,-0.10189294070005417,0.35231542587280273,0.23804709315299988,1.0826624929904938e-08,-0.0495,0.42615,0.0982,0.47565,1.5417
84480,330,0.1468747854232788,-0.025299541652202606,0.344348669052124,0.25952908396720886,8.96397978067398e-09,-0.05675,0.42565,0.09195,0.4824,1.4513
87040,340,0.12247175723314285,-0.027302170172333717,0.29954785108566284,0.27536678314208984,2.2118911147117615e-09,-0.04635,0.42775,0.09815,0.4741,1.5189
89600,350,0.13394811749458313,-0.03331545367836952,0.3345271348953247,0.17875830829143524,7.334165275096893e-09,-0.05015,0.4253,0.09925,0.47545,1.55915
92160,360,0.11256292462348938,-0.04553252086043358,0.3161908984184265,0.17417402565479279,3.4924596548080444e-10,-0.0492,0.42595,0.0989,0.47515,1.5534
94720,370,0.12446658313274384,-0.03438466787338257,0.3177025020122528,0.1813386082649231,0.0,-0.0475,0.42715,0.0982,0.47465,1.52665
97280,380,0.11451786756515503,-0.05523340404033661,0.3395025432109833,0.15342722833156586,1.280568540096283e-09,-0.04935,0.42605,0.09855,0.4754,1.536
99840,390,0.15208986401557922,-0.03816260024905205,0.38050493597984314,0.17616809904575348,2.0954757928848267e-09,-0.0542,0.4248,0.0962,0.479,1.512
102400,400,0.1514204740524292,-0.02025800198316574,0.3433569669723511,0.15801087021827698,2.3283064365386963e-09,-0.05605,0.4245,0.09495,0.48055,1.502
104960,410,0.2040475457906723,0.029409486800432205,0.3492761254310608,0.18690696358680725,2.2118911147117615e-09,-0.05725,0.42315,0.09645,0.4804,1.50955
107520,420,0.18926310539245605,0.006486719939857721,0.36555278301239014,0.15121722221374512,4.423782229423523e-09,-0.05215,0.4244,0.09905,0.47655,1.5219
110080,430,0.20077568292617798,0.014010846614837646,0.37352967262268066,0.12242916971445084,1.6298145055770874e-09,-0.0495,0.42575,0.099,0.47525,1.5331
112640,440,0.11128038167953491,-0.05357259511947632,0.32970595359802246,0.12274482101202011,4.540197551250458e-09,-0.04915,0.42595,0.09895,0.4751,1.53385
115200,450,0.1190991997718811,-0.03834253549575806,0.3148834705352783,0.12113981693983078,4.889443516731262e-09,-0.04925,0.4267,0.09735,0.47595,1.5153
117760,460,0.168265700340271,-0.00854975264519453,0.3536309003829956,0.14275208115577698,4.0745362639427185e-09,-0.04925,0.4267,0.09735,0.47595,1.5153
120320,470,0.1378815770149231,-0.033435408025979996,0.3426339626312256,0.11095286160707474,1.3504177331924438e-08,-0.0509,0.42545,0.0982,0.47635,1.53065
122880,480,0.16842898726463318,0.004328079521656036,0.3282018303871155,0.11851193010807037,3.259629011154175e-09,-0.0482,0.42685,0.0981,0.47505,1.5268
125440,490,0.19712898135185242,0.034700069576501846,0.32485783100128174,0.11565195024013519,3.841705620288849e-09,-0.0482,0.42695,0.0979,0.47515,1.52765
128000,500,0.16396166384220123,-0.00876958854496479,0.34546250104904175,0.11897620558738708,6.28642737865448e-09,-0.0482,0.42695,0.0979,0.47515,1.52765
130560,510,0.21432334184646606,0.0431642085313797,0.34231826663017273,0.08882135152816772,1.862645149230957e-09,-0.05085,0.4255,0.09815,0.47635,1.537
133120,520,0.16591662168502808,0.0027723945677280426,0.32628846168518066,0.12408661842346191,3.026798367500305e-09,-0.04905,0.426,0.09895,0.47505,1.54465
135680,530,0.17552688717842102,0.010998833924531937,0.32905611395835876,0.08901257812976837,6.28642737865448e-09,-0.04825,0.4263,0.09915,0.47455,1.5348
138240,540,0.14881625771522522,-0.026438362896442413,0.35050925612449646,0.08347537368535995,8.149072527885437e-10,-0.0479,0.4266,0.0989,0.4745,1.53665
140800,550,0.16342274844646454,-0.011984189972281456,0.3508138656616211,0.0968601256608963,1.6298145055770874e-09,-0.05185,0.4246,0.09895,0.47645,1.54075
143360,560,0.14152516424655914,-0.02442719042301178,0.33190470933914185,0.11605120450258255,1.862645149230957e-09,-0.0497,0.42565,0.099,0.47535,1.5402
145920,570,0.14928264915943146,0.0004981975653208792,0.2975689172744751,0.08384339511394501,2.9103830456733704e-09,-0.0514,0.42505,0.0985,0.47645,1.5309
148480,580,0.15400351583957672,-0.012733682058751583,0.33347439765930176,0.11632928997278214,4.6566128730773926e-09,-0.05125,0.4258,0.09715,0.47705,1.5228
151040,590,0.1239047646522522,-0.039565060287714005,0.3269396424293518,0.1017545610666275,4.307366907596588e-09,-0.0528,0.4248,0.0976,0.4776,1.5292
153600,600,0.11829574406147003,-0.033747121691703796,0.30408573150634766,0.08995827287435532,1.6298145055770874e-09,-0.05325,0.42385,0.09905,0.4771,1.5459
156160,610,0.14431239664554596,-0.02383274957537651,0.33629029989242554,0.09151624143123627,3.841705620288849e-09,-0.055,0.42295,0.0991,0.47795,1.55285
158720,620,0.15442712604999542,-0.0048586842603981495,0.31857162714004517,0.08595085889101028,4.656612873077393e-10,-0.0565,0.4219,0.0997,0.4784,1.55875
161280,630,0.15543800592422485,-0.01550363004207611,0.34188327193260193,0.11315300315618515,3.4924596548080444e-09,-0.0565,0.4219,0.0997,0.4784,1.55875
163840,640,0.12837368249893188,-0.040165193378925323,0.3370777666568756,0.09116311371326447,1.280568540096283e-09,-0.053,0.42355,0.0999,0.47655,1.55265
166400,650,0.15495319664478302,-0.0022349990904331207,0.3143763840198517,0.06491892039775848,6.984919309616089e-10,-0.0531,0.4237,0.0995,0.4768,1.54825
168960,660,0.17195002734661102,0.0047122095711529255,0.33447563648223877,0.08354640752077103,1.7462298274040222e-09,-0.05165,0.42445,0.09945,0.4761,1.5479
171520,670,0.15151555836200714,-0.01953081786632538,0.34209275245666504,0.07893119752407074,6.984919309616089e-10,-0.0509,0.42475,0.0996,0.47565,1.5467
174080,680,0.15544955432415009,-0.0157499760389328,0.34239906072616577,0.07623418420553207,5.820766091346741e-10,-0.0509,0.42475,0.0996,0.47565,1.5467
176640,690,0.15936963260173798,-0.004434197209775448,0.327607661485672,0.07864375412464142,5.820766091346741e-09,-0.05005,0.42555,0.09885,0.4756,1.5558
179200,700,0.17207875847816467,-0.0134990019723773,0.3711555302143097,0.0631573349237442,1.3969838619232178e-09,-0.05175,0.42475,0.09875,0.4765,1.55915
181760,710,0.250169038772583,0.0857686698436737,0.3288007080554962,0.056562941521406174,0.0,-0.05175,0.42475,0.09875,0.4765,1.55915
184320,720,0.14234113693237305,-0.01641557365655899,0.3175134062767029,0.07501537352800369,3.4924596548080444e-09,-0.0546,0.4233,0.0988,0.4779,1.56315
186880,730,0.1670035719871521,-0.004898324608802795,0.3438037931919098,0.06932231038808823,1.1641532182693481e-09,-0.0545,0.42335,0.0988,0.47785,1.56095
189440,740,0.1612057387828827,-0.006929708644747734,0.33627089858055115,0.10988568514585495,4.190951585769653e-09,-0.04905,0.42715,0.09665,0.4762,1.57715
192000,750,0.17519345879554749,0.00864388421177864,0.3330991566181183,0.0872306078672409,1.0477378964424133e-09,-0.05155,0.42535,0.09775,0.4769,1.55975
194560,760,0.14145642518997192,-0.030924107879400253,0.34476107358932495,0.06455778330564499,2.0954757928848267e-09,-0.05105,0.4245,0.09995,0.47555,1.55505
197120,770,0.19085271656513214,0.023508941754698753,0.33468756079673767,0.06487099826335907,3.026798367500305e-09,-0.0507,0.42515,0.099,0.47585,1.5443
199680,780,0.14022956788539886,-0.023176297545433044,0.3268117308616638,0.0666850283741951,9.313225746154785e-09,-0.04985,0.4256,0.09895,0.47545,1.5421
202240,790,0.1662188172340393,-0.014495545998215675,0.36142873764038086,0.05885762721300125,0.0,-0.05,0.4262,0.0976,0.4762,1.5545
204800,800,0.20116277039051056,0.0306265689432621,0.3410724103450775,0.06289160251617432,4.889443516731262e-09,-0.05365,0.4245,0.09735,0.47815,1.56145
207360,810,0.14423593878746033,-0.024043412879109383,0.3365586996078491,0.06785845756530762,6.984919309616089e-09,-0.0534,0.42475,0.0971,0.47815,1.55835
209920,820,0.21579596400260925,0.033805496990680695,0.3639809489250183,0.06412359327077866,2.7939677238464355e-09,-0.04985,0.4256,0.09895,0.47545,1.5421
212480,830,0.13041310012340546,-0.03684503212571144,0.3345162570476532,0.08091773092746735,7.566995918750763e-09,-0.0512,0.42505,0.0987,0.47625,1.53345
215040,840,0.12707528471946716,-0.030263425782322884,0.3146774172782898,0.06307066977024078,5.820766091346741e-10,-0.0512,0.42505,0.0987,0.47625,1.53345
217600,850,0.2715548276901245,0.08668309450149536,0.3697434961795807,0.052644748240709305,4.190951585769653e-09,-0.0484,0.42605,0.0995,0.47445,1.54725
220160,860,0.2136482298374176,0.0428437665104866,0.3416089117527008,0.07254258543252945,5.587935447692871e-09,-0.04845,0.42655,0.09845,0.475,1.5483
222720,870,0.18073613941669464,0.011506427079439163,0.33845943212509155,0.05889520421624184,4.889443516731262e-09,-0.04835,0.42645,0.09875,0.4748,1.5493
225280,880,0.16324280202388763,-0.0026887012645602226,0.33186301589012146,0.05661743879318237,3.958120942115784e-09,-0.05115,0.425,0.09885,0.47615,1.55315
227840,890,0.1666419804096222,0.014166508801281452,0.3049509525299072,0.057893767952919006,5.820766091346741e-09,-0.0533,0.42415,0.0984,0.47745,1.5558
230400,900,0.162944957613945,-0.0022443351335823536,0.33037859201431274,0.046175964176654816,2.3283064365386963e-09,-0.05325,0.4244,0.09795,0.47765,1.5571
232960,910,0.11431518197059631,-0.039607614278793335,0.3078455924987793,0.062135208398103714,2.3283064365386963e-09,-0.05275,0.4243,0.09865,0.47705,1.5544
235520,920,0.1774822175502777,0.0032228361815214157,0.3485187590122223,0.06150302290916443,4.6566128730773926e-09,-0.053,0.4241,0.0988,0.4771,1.5577
238080,930,0.1711091548204422,-0.000954190269112587,0.34412670135498047,0.046349626034498215,1.1757947504520416e-08,-0.0516,0.4249,0.0986,0.4765,1.55525
240640,940,0.15191204845905304,0.0006359107792377472,0.3025522828102112,0.034709226340055466,2.0954757928848267e-09,-0.0516,0.4249,0.0986,0.4765,1.55525
243200,950,0.18363608419895172,0.02531270682811737,0.3166467547416687,0.05001647770404816,6.868503987789154e-09,-0.05355,0.4238,0.09885,0.47735,1.5569
245760,960,0.14935320615768433,-0.018585488200187683,0.335877388715744,0.043572213500738144,3.725290298461914e-09,-0.05355,0.4238,0.09885,0.47735,1.5569
248320,970,0.1609443724155426,-0.0005823446554131806,0.32305341958999634,0.03479694575071335,4.423782229423523e-09,-0.05155,0.42475,0.09895,0.4763,1.5531
250880,980,0.18612803518772125,0.03466366231441498,0.30292874574661255,0.0544017069041729,6.05359673500061e-09,-0.05225,0.42455,0.09865,0.4768,1.5545
253440,990,0.14859437942504883,-0.01410615909844637,0.32540106773376465,0.040716931223869324,1.6298145055770874e-09,-0.05315,0.42405,0.09875,0.4772,1.55695
256000,1000,0.1777944266796112,-0.003355140332132578,0.3622991442680359,0.042140036821365356,1.1641532182693481e-09,-0.05115,0.4253,0.09825,0.47645,1.5561
