step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.0674,0.42175,0.0891,0.48915,1.48105
50000,50000,0.050000000000000044,-0.0713,0.4196,0.0895,0.4909,1.5288
75000,75000,0.050000000000000044,-0.0673,0.41905,0.0946,0.48635,1.5448
100000,100000,0.050000000000000044,-0.0652,0.42015,0.0945,0.48535,1.5627
125000,125000,0.050000000000000044,-0.06455,0.4189,0.09765,0.48345,1.59405
150000,150000,0.050000000000000044,-0.0583,0.4234,0.0949,0.4817,1.5744
175000,175000,0.050000000000000044,-0.06515,0.4207,0.09345,0.48585,1.5508
200000,200000,0.050000000000000044,-0.06805,0.41915,0.09365,0.4872,1.5813
225000,225000,0.050000000000000044,-0.0579,0.4235,0.0951,0.4814,1.5854
250000,250000,0.050000000000000044,-0.0536,0.42485,0.0967,0.47845,1.5963
275000,275000,0.050000000000000044,-0.05195,0.42635,0.09535,0.4783,1.58875
300000,300000,0.050000000000000044,-0.05335,0.42715,0.09235,0.4805,1.5782
325000,325000,0.050000000000000044,-0.06285,0.42145,0.09425,0.4843,1.60245
350000,350000,0.050000000000000044,-0.05595,0.42385,0.09635,0.4798,1.5881
375000,375000,0.050000000000000044,-0.05615,0.4246,0.09465,0.48075,1.57955
400000,400000,0.050000000000000044,-0.0625,0.4226,0.0923,0.4851,1.5661
425000,425000,0.050000000000000044,-0.06405,0.421,0.09395,0.48505,1.60325
450000,450000,0.050000000000000044,-0.06395,0.4214,0.09325,0.48535,1.57025
475000,475000,0.050000000000000044,-0.05605,0.4256,0.09275,0.48165,1.5859
500000,500000,0.050000000000000044,-0.05115,0.4261,0.09665,0.47725,1.5746
