step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.88125,-0.0681,0.4181,0.0957,0.4862,1.5024
50000,50000,0.7625,-0.0664,0.4232,0.0872,0.4896,1.4835
75000,75000,0.64375,-0.0483,0.4287,0.0943,0.477,1.5407
100000,100000,0.525,-0.0547,0.4268,0.0917,0.4815,1.5324
125000,125000,0.40625,-0.0605,0.4222,0.0951,0.4827,1.5362
150000,150000,0.2875000000000001,-0.0487,0.428,0.0953,0.4767,1.563
175000,175000,0.16875000000000007,-0.0616,0.4242,0.09,0.4858,1.5139
200000,200000,0.050000000000000044,-0.0536,0.4278,0.0908,0.4814,1.5617
