step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.9175,-0.0829,0.4136,0.0899,0.4965,1.535
50000,50000,0.835,-0.0589,0.4252,0.0907,0.4841,1.5237
75000,75000,0.7525,-0.065,0.4224,0.0902,0.4874,1.5365
100000,100000,0.67,-0.0499,0.4273,0.0955,0.4772,1.5545
125000,125000,0.5874999999999999,-0.0553,0.4272,0.0903,0.4825,1.5831
150000,150000,0.505,-0.0546,0.4273,0.0908,0.4819,1.5484
175000,175000,0.4225,-0.058,0.425,0.092,0.483,1.5512
200000,200000,0.3400000000000001,-0.0612,0.4208,0.0972,0.482,1.5818
