step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.88125,-0.0732,0.4179,0.091,0.4911,1.4679
50000,50000,0.7625,-0.0647,0.4225,0.0903,0.4872,1.4875
75000,75000,0.64375,-0.0584,0.4215,0.0986,0.4799,1.5321
100000,100000,0.525,-0.0575,0.4227,0.0971,0.4802,1.5345
125000,125000,0.40625,-0.0597,0.4202,0.0999,0.4799,1.5554
150000,150000,0.2875000000000001,-0.0482,0.4307,0.0904,0.4789,1.5146
175000,175000,0.16875000000000007,-0.0528,0.4242,0.0988,0.477,1.5672
200000,200000,0.050000000000000044,-0.0484,0.4301,0.0914,0.4785,1.5546
