step,update,loss,policy_loss,value_loss,entropy,approx_kl,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
2560,10,0.3760915994644165,-0.025045044720172882,0.8022732734680176,0.6888157725334167,1.6298145055770874e-09,-0.189,0.37925,0.0525,0.56825,1.0
5120,20,0.31864219903945923,-0.050714969635009766,0.738714337348938,0.6653866171836853,2.0954757928848267e-09,-0.189,0.37925,0.0525,0.56825,1.0
7680,30,0.24559210240840912,-0.08419586718082428,0.6595759391784668,0.5830488204956055,1.1059455573558807e-08,-0.189,0.37925,0.0525,0.56825,1.0
10240,40,0.3042924404144287,-0.051759883761405945,0.7121046781539917,0.4314596951007843,2.3283064365386963e-10,-0.189,0.37925,0.0525,0.56825,1.0
12800,50,0.3828354775905609,0.028329219669103622,0.709012508392334,0.31528371572494507,2.3283064365386963e-10,-0.189,0.37925,0.0525,0.56825,1.0
15360,60,0.3392419219017029,0.012202858924865723,0.6540781259536743,0.2272850126028061,6.984919309616089e-10,-0.189,0.37925,0.0525,0.56825,1.0
17920,70,0.3585761785507202,0.040399253368377686,0.6363538503646851,0.17625534534454346,0.0,-0.189,0.37925,0.0525,0.56825,1.0
20480,80,0.25910013914108276,-0.038355179131031036,0.5949106216430664,0.12808018922805786,4.656612873077393e-10,-0.189,0.37925,0.0525,0.56825,1.0
23040,90,0.2914838194847107,-0.005956628359854221,0.5948808789253235,0.09027183800935745,5.122274160385132e-09,-0.189,0.37925,0.0525,0.56825,1.0
25600,100,0.33244121074676514,0.013119853101670742,0.6386427283287048,0.0728541687130928,5.122274160385132e-09,-0.189,0.37925,0.0525,0.56825,1.0
28160,110,0.2338571697473526,-0.041272446513175964,0.5502592325210571,0.06266576796770096,7.916241884231567e-09,-0.189,0.37925,0.0525,0.56825,1.0
30720,120,0.24338668584823608,-0.029040930792689323,0.5448552370071411,0.06464667618274689,2.3283064365386963e-09,-0.189,0.37925,0.0525,0.56825,1.0
33280,130,0.2762523889541626,0.015801958739757538,0.5209008455276489,0.06641662120819092,0.0,-0.189,0.37925,0.0525,0.56825,1.0
35840,140,0.2570454180240631,-0.0011596265248954296,0.5164101123809814,0.07800255715847015,9.313225746154785e-10,-0.189,0.37925,0.0525,0.56825,1.0
38400,150,0.28368595242500305,-0.01950993947684765,0.6063917875289917,0.07019724696874619,9.313225746154785e-10,-0.189,0.37925,0.0525,0.56825,1.0
40960,160,0.27832239866256714,-0.0010016709566116333,0.5586481094360352,0.062032315880060196,9.313225746154785e-10,-0.189,0.37925,0.0525,0.56825,1.0
43520,170,0.3142678141593933,0.03724487125873566,0.5540459156036377,0.08442893624305725,1.862645149230957e-09,-0.189,0.37925,0.0525,0.56825,1.0
46080,180,0.2711292803287506,-0.009723875671625137,0.5617063045501709,0.08682683855295181,1.6298145055770874e-09,-0.189,0.37925,0.0525,0.56825,1.0
48640,190,0.2741662859916687,-0.005028583575040102,0.5583897233009338,0.1131507009267807,6.984919309616089e-10,-0.189,0.37925,0.0525,0.56825,1.0
51200,200,0.27816900610923767,0.014016409404575825,0.528305172920227,0.13024458289146423,9.080395102500916e-09,-0.189,0.37925,0.0525,0.56825,1.0
53760,210,0.3307493031024933,0.04283738508820534,0.5758238434791565,0.13646285235881805,8.614733815193176e-09,-0.189,0.37925,0.0525,0.56825,1.0
56320,220,0.27683642506599426,3.4105032682418823e-06,0.5536660552024841,0.1416146159172058,7.101334631443024e-09,-0.189,0.37925,0.0525,0.56825,1.0
58880,230,0.30062082409858704,0.03086022660136223,0.5395212173461914,0.18312004208564758,2.2118911147117615e-09,-0.189,0.37925,0.0525,0.56825,1.0
61440,240,0.3051106333732605,0.018472015857696533,0.5732772350311279,0.27890723943710327,3.958120942115784e-09,-0.189,0.37925,0.0525,0.56825,1.0
64000,250,0.1975962370634079,-0.1174473911523819,0.6300872564315796,0.3940964341163635,7.2177499532699585e-09,-0.1594,0.39235,0.0559,0.55175,1.043
66560,260,0.27914223074913025,-0.026216942816972733,0.6107183694839478,0.4481528103351593,4.540197551250458e-09,-0.10545,0.4133,0.06795,0.51875,1.17285
69120,270,0.2819293737411499,0.0028116293251514435,0.5582354664802551,0.43264034390449524,7.334165275096893e-09,-0.10285,0.4135,0.07015,0.51635,1.2424
71680,280,0.2609584331512451,-0.0293017216026783,0.5805203318595886,0.43363097310066223,7.2177499532699585e-09,-0.07715,0.41635,0.09015,0.4935,1.40285
74240,290,0.20049934089183807,-0.05548863112926483,0.5119759440422058,0.41097500920295715,4.773028194904327e-09,-0.0617,0.42095,0.0964,0.48265,1.4992
76800,300,0.23778483271598816,-0.03710726276040077,0.5497841835021973,0.31404826045036316,2.9103830456733704e-09,-0.061,0.42085,0.0973,0.48185,1.5354
79360,310,0.15066292881965637,-0.11823752522468567,0.5378009080886841,0.32175904512405396,9.778887033462524e-09,-0.0643,0.41885,0.098,0.48315,1.54615
81920,320,0.19047676026821136,-0.07078589498996735,0.5225253105163574,0.2786877751350403,4.307366907596588e-09,-0.0615,0.42025,0.098,0.48175,1.5144
84480,330,0.33674365282058716,0.024974288418889046,0.6235387325286865,0.21852965652942657,4.6566128730773926e-09,-0.05825,0.4233,0.09515,0.48155,1.49495
87040,340,0.2461928129196167,-0.02469106763601303,0.5417677760124207,0.23495204746723175,3.6088749766349792e-09,-0.0563,0.4237,0.0963,0.48,1.48645
