step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.88125,-0.0622,0.4253,0.0872,0.4875,1.4757
50000,50000,0.7625,-0.0531,0.4264,0.0941,0.4795,1.5186
75000,75000,0.64375,-0.0616,0.4233,0.0918,0.4849,1.5032
100000,100000,0.525,-0.055,0.424,0.097,0.479,1.5519
125000,125000,0.40625,-0.0478,0.4293,0.0936,0.4771,1.523
150000,150000,0.2875000000000001,-0.0565,0.4239,0.0957,0.4804,1.5322
175000,175000,0.16875000000000007,-0.0552,0.4245,0.0958,0.4797,1.5417
200000,200000,0.050000000000000044,-0.0467,0.4281,0.0971,0.4748,1.5614
