step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.05225,0.42955,0.08865,0.4818,1.4907
50000,50000,0.050000000000000044,-0.054,0.4247,0.0966,0.4787,1.5374
75000,75000,0.050000000000000044,-0.0571,0.423,0.0969,0.4801,1.56665
100000,100000,0.050000000000000044,-0.06025,0.4241,0.09155,0.48435,1.5264
125000,125000,0.050000000000000044,-0.0537,0.4266,0.0931,0.4803,1.5604
150000,150000,0.050000000000000044,-0.0469,0.43065,0.0918,0.47755,1.55075
175000,175000,0.050000000000000044,-0.04765,0.4295,0.09335,0.47715,1.5538
200000,200000,0.050000000000000044,-0.0552,0.428,0.0888,0.4832,1.57495
225000,225000,0.050000000000000044,-0.0499,0.428,0.0941,0.4779,1.55725
250000,250000,0.050000000000000044,-0.05545,0.42425,0.09605,0.4797,1.59555
275000,275000,0.050000000000000044,-0.04755,0.4301,0.09225,0.47765,1.561
300000,300000,0.050000000000000044,-0.0486,0.42735,0.0967,0.47595,1.5614
325000,325000,0.050000000000000044,-0.062,0.4208,0.0964,0.4828,1.5695
350000,350000,0.050000000000000044,-0.04885,0.4293,0.09255,0.47815,1.5501
375000,375000,0.050000000000000044,-0.0463,0.42775,0.0982,0.47405,1.57105
400000,400000,0.050000000000000044,-0.0498,0.4279,0.0944,0.4777,1.55505
425000,425000,0.050000000000000044,-0.0516,0.4258,0.0968,0.4774,1.58375
450000,450000,0.050000000000000044,-0.0512,0.42625,0.0963,0.47745,1.58105
475000,475000,0.050000000000000044,-0.04915,0.42555,0.09975,0.4747,1.59405
500000,500000,0.050000000000000044,-0.04445,0.43065,0.09425,0.4751,1.5797
