step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.0583,0.4264,0.0889,0.4847,1.47265
50000,50000,0.050000000000000044,-0.05435,0.426,0.09365,0.48035,1.5334
75000,75000,0.050000000000000044,-0.05635,0.424,0.09565,0.48035,1.57445
100000,100000,0.050000000000000044,-0.0589,0.42205,0.097,0.48095,1.56415
125000,125000,0.050000000000000044,-0.05955,0.423,0.09445,0.48255,1.57825
150000,150000,0.050000000000000044,-0.05085,0.4283,0.09255,0.47915,1.54255
175000,175000,0.050000000000000044,-0.05235,0.42605,0.09555,0.4784,1.55945
200000,200000,0.050000000000000044,-0.0513,0.4269,0.0949,0.4782,1.57475
225000,225000,0.050000000000000044,-0.04955,0.42705,0.09635,0.4766,1.55785
250000,250000,0.050000000000000044,-0.0476,0.42855,0.0953,0.47615,1.5602
275000,275000,0.050000000000000044,-0.04755,0.43,0.09245,0.47755,1.54095
300000,300000,0.050000000000000044,-0.04665,0.42795,0.09745,0.4746,1.5927
325000,325000,0.050000000000000044,-0.04545,0.42885,0.09685,0.4743,1.5794
350000,350000,0.050000000000000044,-0.04825,0.4293,0.09315,0.47755,1.56975
375000,375000,0.050000000000000044,-0.05195,0.42645,0.09515,0.4784,1.5818
400000,400000,0.050000000000000044,-0.0499,0.42845,0.0932,0.47835,1.56115
425000,425000,0.050000000000000044,-0.05365,0.4247,0.09695,0.47835,1.5824
450000,450000,0.050000000000000044,-0.05105,0.42805,0.09285,0.4791,1.56635
475000,475000,0.050000000000000044,-0.05215,0.42565,0.09655,0.4778,1.57885
500000,500000,0.050000000000000044,-0.0478,0.4282,0.0958,0.476,1.57505
