step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.0696,0.4191,0.0922,0.4887,1.51205
50000,50000,0.050000000000000044,-0.05925,0.42295,0.09485,0.4822,1.52905
75000,75000,0.050000000000000044,-0.06295,0.4217,0.09365,0.48465,1.54475
100000,100000,0.050000000000000044,-0.05355,0.42815,0.09015,0.4817,1.5428
125000,125000,0.050000000000000044,-0.0626,0.42065,0.0961,0.48325,1.54965
150000,150000,0.050000000000000044,-0.06055,0.42235,0.09475,0.4829,1.5748
175000,175000,0.050000000000000044,-0.05865,0.4237,0.09395,0.48235,1.5641
200000,200000,0.050000000000000044,-0.0595,0.42345,0.0936,0.48295,1.56205
225000,225000,0.050000000000000044,-0.0557,0.42535,0.0936,0.48105,1.5718
250000,250000,0.050000000000000044,-0.06335,0.4235,0.08965,0.48685,1.52915
275000,275000,0.050000000000000044,-0.05655,0.4227,0.09805,0.47925,1.5755
300000,300000,0.050000000000000044,-0.05205,0.42505,0.09785,0.4771,1.5825
325000,325000,0.050000000000000044,-0.0623,0.42215,0.0934,0.48445,1.5891
350000,350000,0.050000000000000044,-0.05975,0.4228,0.09465,0.48255,1.57105
375000,375000,0.050000000000000044,-0.0608,0.4229,0.0934,0.4837,1.55285
400000,400000,0.050000000000000044,-0.0571,0.42405,0.0948,0.48115,1.57765
425000,425000,0.050000000000000044,-0.0555,0.4233,0.0979,0.4788,1.5765
450000,450000,0.050000000000000044,-0.05885,0.42275,0.09565,0.4816,1.55815
475000,475000,0.050000000000000044,-0.0632,0.4216,0.0936,0.4848,1.55695
500000,500000,0.050000000000000044,-0.05945,0.4247,0.09115,0.48415,1.54755
