step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.0553,0.4258,0.0931,0.4811,1.52845
50000,50000,0.050000000000000044,-0.0624,0.42315,0.0913,0.48555,1.5508
75000,75000,0.050000000000000044,-0.06915,0.4186,0.09365,0.48775,1.53675
100000,100000,0.050000000000000044,-0.0712,0.41625,0.0963,0.48745,1.57155
125000,125000,0.050000000000000044,-0.07095,0.41545,0.09815,0.4864,1.5787
150000,150000,0.050000000000000044,-0.0601,0.42405,0.0918,0.48415,1.53535
175000,175000,0.050000000000000044,-0.0622,0.42155,0.0947,0.48375,1.57965
200000,200000,0.050000000000000044,-0.0714,0.41765,0.0933,0.48905,1.59315
225000,225000,0.050000000000000044,-0.05395,0.42795,0.09015,0.4819,1.56215
250000,250000,0.050000000000000044,-0.07795,0.41475,0.09255,0.4927,1.58485
275000,275000,0.050000000000000044,-0.0611,0.42215,0.0946,0.48325,1.5775
300000,300000,0.050000000000000044,-0.0565,0.42345,0.0966,0.47995,1.601
325000,325000,0.050000000000000044,-0.04895,0.42825,0.09455,0.4772,1.5902
350000,350000,0.050000000000000044,-0.0612,0.42225,0.0943,0.48345,1.5577
375000,375000,0.050000000000000044,-0.0669,0.4212,0.0907,0.4881,1.56405
400000,400000,0.050000000000000044,-0.06255,0.42345,0.09055,0.486,1.5686
425000,425000,0.050000000000000044,-0.06965,0.41835,0.09365,0.488,1.59015
450000,450000,0.050000000000000044,-0.04775,0.4281,0.09605,0.47585,1.5927
475000,475000,0.050000000000000044,-0.05885,0.42345,0.09425,0.4823,1.58675
500000,500000,0.050000000000000044,-0.0543,0.42515,0.0954,0.47945,1.58255
