step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.7625,-0.0603,0.425,0.0897,0.4853,1.4944
50000,50000,0.525,-0.0558,0.4291,0.086,0.4849,1.4704
75000,75000,0.2875000000000001,-0.0389,0.4349,0.0913,0.4738,1.519
100000,100000,0.050000000000000044,-0.053,0.4254,0.0962,0.4784,1.5699
125000,125000,0.050000000000000044,-0.0528,0.4265,0.0942,0.4793,1.5575
150000,150000,0.050000000000000044,-0.0501,0.4301,0.0897,0.4802,1.5387
175000,175000,0.050000000000000044,-0.0587,0.4242,0.0929,0.4829,1.5465
200000,200000,0.050000000000000044,-0.0535,0.4264,0.0937,0.4799,1.5608
