alpha,gamma,eps_end,eps_decay_episodes,eps_start,mean_eval_return
0.02,0.95,0.01,50000,1.0,-0.055966666666666665
0.02,0.95,0.01,100000,1.0,-0.05465
0.02,0.95,0.01,200000,1.0,-0.05898333333333333
0.02,0.95,0.01,300000,1.0,-0.048133333333333334
0.02,0.95,0.05,50000,1.0,-0.05396666666666666
0.02,0.95,0.05,100000,1.0,-0.05726666666666667
0.02,0.95,0.05,200000,1.0,-0.058633333333333336
0.02,0.95,0.05,300000,1.0,-0.056966666666666665
0.02,0.99,0.01,50000,1.0,-0.059750000000000004
0.02,0.99,0.01,100000,1.0,-0.061733333333333335
0.02,0.99,0.01,200000,1.0,-0.0625
0.02,0.99,0.01,300000,1.0,-0.05193333333333333
0.02,0.99,0.05,50000,1.0,-0.06023333333333333
0.02,0.99,0.05,100000,1.0,-0.05798333333333333
0.02,0.99,0.05,200000,1.0,-0.057633333333333335
0.02,0.99,0.05,300000,1.0,-0.0572
0.02,1.0,0.01,50000,1.0,-0.059666666666666666
0.02,1.0,0.01,100000,1.0,-0.06146666666666667
0.02,1.0,0.01,200000,1.0,-0.051166666666666666
0.02,1.0,0.01,300000,1.0,-0.05388333333333334
0.02,1.0,0.05,50000,1.0,-0.0593
0.02,1.0,0.05,100000,1.0,-0.05911666666666667
0.02,1.0,0.05,200000,1.0,-0.054
0.02,1.0,0.05,300000,1.0,-0.055049999999999995
0.05,0.95,0.01,50000,1.0,-0.05841666666666667
0.05,0.95,0.01,100000,1.0,-0.06163333333333334
0.05,0.95,0.01,200000,1.0,-0.05285
0.05,0.95,0.01,300000,1.0,-0.060099999999999994
0.05,0.95,0.05,50000,1.0,-0.057966666666666666
0.05,0.95,0.05,100000,1.0,-0.05806666666666666
0.05,0.95,0.05,200000,1.0,-0.06076666666666667
0.05,0.95,0.05,300000,1.0,-0.0529
0.05,0.99,0.01,50000,1.0,-0.058600000000000006
0.05,0.99,0.01,100000,1.0,-0.05206666666666667
0.05,0.99,0.01,200000,1.0,-0.06095
0.05,0.99,0.01,300000,1.0,-0.05995
0.05,0.99,0.05,50000,1.0,-0.05273333333333333
0.05,0.99,0.05,100000,1.0,-0.0542
0.05,0.99,0.05,200000,1.0,-0.05533333333333334
0.05,0.99,0.05,300000,1.0,-0.05753333333333333
0.05,1.0,0.01,50000,1.0,-0.05308333333333334
0.05,1.0,0.01,100000,1.0,-0.05561666666666667
0.05,1.0,0.01,200000,1.0,-0.053866666666666674
0.05,1.0,0.01,300000,1.0,-0.0583
0.05,1.0,0.05,50000,1.0,-0.060450000000000004
0.05,1.0,0.05,100000,1.0,-0.05491666666666667
0.05,1.0,0.05,200000,1.0,-0.05628333333333333
0.05,1.0,0.05,300000,1.0,-0.0634
0.1,0.95,0.01,50000,1.0,-0.05471666666666666
0.1,0.95,0.01,100000,1.0,-0.06288333333333333
0.1,0.95,0.01,200000,1.0,-0.06186666666666666
0.1,0.95,0.01,300000,1.0,-0.06583333333333334
0.1,0.95,0.05,50000,1.0,-0.06486666666666667
0.1,0.95,0.05,100000,1.0,-0.06103333333333333
0.1,0.95,0.05,200000,1.0,-0.06121666666666667
0.1,0.95,0.05,300000,1.0,-0.07373333333333333
0.1,0.99,0.01,50000,1.0,-0.05455000000000001
0.1,0.99,0.01,100000,1.0,-0.05891666666666667
0.1,0.99,0.01,200000,1.0,-0.06953333333333334
0.1,0.99,0.01,300000,1.0,-0.07198333333333333
0.1,0.99,0.05,50000,1.0,-0.06543333333333333
0.1,0.99,0.05,100000,1.0,-0.06521666666666667
0.1,0.99,0.05,200000,1.0,-0.05926666666666667
0.1,0.99,0.05,300000,1.0,-0.059
0.1,1.0,0.01,50000,1.0,-0.06121666666666667
0.1,1.0,0.01,100000,1.0,-0.0642
0.1,1.0,0.01,200000,1.0,-0.06358333333333334
0.1,1.0,0.01,300000,1.0,-0.06495
0.1,1.0,0.05,50000,1.0,-0.0721
0.1,1.0,0.05,100000,1.0,-0.05541666666666667
0.1,1.0,0.05,200000,1.0,-0.06458333333333334
0.1,1.0,0.05,300000,1.0,-0.062116666666666674
0.2,0.95,0.01,50000,1.0,-0.06380000000000001
0.2,0.95,0.01,100000,1.0,-0.06738333333333334
0.2,0.95,0.01,200000,1.0,-0.08188333333333334
0.2,0.95,0.01,300000,1.0,-0.0841
0.2,0.95,0.05,50000,1.0,-0.06903333333333334
0.2,0.95,0.05,100000,1.0,-0.06821666666666666
0.2,0.95,0.05,200000,1.0,-0.07101666666666667
0.2,0.95,0.05,300000,1.0,-0.07285
0.2,0.99,0.01,50000,1.0,-0.06793333333333333
0.2,0.99,0.01,100000,1.0,-0.06018333333333333
0.2,0.99,0.01,200000,1.0,-0.0726
0.2,0.99,0.01,300000,1.0,-0.08086666666666667
0.2,0.99,0.05,50000,1.0,-0.07231666666666667
0.2,0.99,0.05,100000,1.0,-0.06551666666666667
0.2,0.99,0.05,200000,1.0,-0.07376666666666666
0.2,0.99,0.05,300000,1.0,-0.07606666666666667
0.2,1.0,0.01,50000,1.0,-0.07279999999999999
0.2,1.0,0.01,100000,1.0,-0.07035
0.2,1.0,0.01,200000,1.0,-0.07911666666666667
0.2,1.0,0.01,300000,1.0,-0.0736
0.2,1.0,0.05,50000,1.0,-0.06535
0.2,1.0,0.05,100000,1.0,-0.06523333333333332
0.2,1.0,0.05,200000,1.0,-0.07576666666666666
0.2,1.0,0.05,300000,1.0,-0.07608333333333334
