trial,lr,gamma,gae_lambda,entropy_coef,hidden1,hidden2,mean_eval_return
1,0.0001,0.95,0.9,0.0,64,64,-0.18569999999999998
2,0.0001,0.95,0.9,0.0,128,128,-0.18569999999999998
3,0.0001,0.95,0.9,0.01,64,64,-0.18569999999999998
4,0.0001,0.95,0.9,0.01,128,128,-0.18151666666666666
5,0.0001,0.95,0.97,0.0,64,64,-0.18569999999999998
6,0.0001,0.95,0.97,0.0,128,128,-0.18569999999999998
7,0.0001,0.95,0.97,0.01,64,64,-0.18569999999999998
8,0.0001,0.95,0.97,0.01,128,128,-0.18569999999999998
9,0.0001,0.99,0.9,0.0,64,64,-0.18569999999999998
10,0.0001,0.99,0.9,0.0,128,128,-0.18569999999999998
11,0.0001,0.99,0.9,0.01,64,64,-0.18569999999999998
12,0.0001,0.99,0.9,0.01,128,128,-0.18569999999999998
13,0.0001,0.99,0.97,0.0,64,64,-0.18569999999999998
14,0.0001,0.99,0.97,0.0,128,128,-0.18569999999999998
15,0.0001,0.99,0.97,0.01,64,64,-0.18569999999999998
16,0.0001,0.99,0.97,0.01,128,128,-0.18569999999999998
17,0.0001,1.0,0.9,0.0,64,64,-0.18569999999999998
18,0.0001,1.0,0.9,0.0,128,128,-0.18569999999999998
19,0.0001,1.0,0.9,0.01,64,64,-0.18569999999999998
20,0.0001,1.0,0.9,0.01,128,128,-0.18569999999999998
21,0.0001,1.0,0.97,0.0,64,64,-0.18569999999999998
22,0.0001,1.0,0.97,0.0,128,128,-0.18569999999999998
23,0.0001,1.0,0.97,0.01,64,64,-0.18569999999999998
24,0.0001,1.0,0.97,0.01,128,128,-0.18569999999999998
25,0.0003,0.95,0.9,0.0,64,64,-0.055766666666666666
26,0.0003,0.95,0.9,0.0,128,128,-0.0537
27,0.0003,0.95,0.9,0.01,64,64,-0.05403333333333334
28,0.0003,0.95,0.9,0.01,128,128,-0.05583333333333334
29,0.0003,0.95,0.97,0.0,64,64,-0.05678333333333333
30,0.0003,0.95,0.97,0.0,128,128,-0.055883333333333333
31,0.0003,0.95,0.97,0.01,64,64,-0.05815
32,0.0003,0.95,0.97,0.01,128,128,-0.05725
33,0.0003,0.99,0.9,0.0,64,64,-0.05758333333333333
34,0.0003,0.99,0.9,0.0,128,128,-0.05528333333333333
35,0.0003,0.99,0.9,0.01,64,64,-0.057716666666666666
36,0.0003,0.99,0.9,0.01,128,128,-0.05578333333333333
37,0.0003,0.99,0.97,0.0,64,64,-0.06321666666666666
38,0.0003,0.99,0.97,0.0,128,128,-0.05503333333333333
39,0.0003,0.99,0.97,0.01,64,64,-0.06101666666666667
40,0.0003,0.99,0.97,0.01,128,128,-0.053483333333333334
41,0.0003,1.0,0.9,0.0,64,64,-0.06083333333333333
42,0.0003,1.0,0.9,0.0,128,128,-0.053366666666666666
43,0.0003,1.0,0.9,0.01,64,64,-0.06061666666666667
44,0.0003,1.0,0.9,0.01,128,128,-0.05396666666666667
45,0.0003,1.0,0.97,0.0,64,64,-0.062183333333333334
46,0.0003,1.0,0.97,0.0,128,128,-0.05358333333333334
47,0.0003,1.0,0.97,0.01,64,64,-0.05786666666666667
48,0.0003,1.0,0.97,0.01,128,128,-0.0592
49,0.001,0.95,0.9,0.0,64,64,-0.0529
50,0.001,0.95,0.9,0.0,128,128,-0.05335
51,0.001,0.95,0.9,0.01,64,64,-0.051416666666666666
52,0.001,0.95,0.9,0.01,128,128,-0.05328333333333333
53,0.001,0.95,0.97,0.0,64,64,-0.05128333333333333
54,0.001,0.95,0.97,0.0,128,128,-0.05123333333333333
55,0.001,0.95,0.97,0.01,64,64,-0.051416666666666666
56,0.001,0.95,0.97,0.01,128,128,-0.05225
57,0.001,0.99,0.9,0.0,64,64,-0.0519
58,0.001,0.99,0.9,0.0,128,128,-0.05273333333333333
59,0.001,0.99,0.9,0.01,64,64,-0.050166666666666665
60,0.001,0.99,0.9,0.01,128,128,-0.05301666666666666
61,0.001,0.99,0.97,0.0,64,64,-0.052050000000000006
62,0.001,0.99,0.97,0.0,128,128,-0.050166666666666665
63,0.001,0.99,0.97,0.01,64,64,-0.05481666666666666
64,0.001,0.99,0.97,0.01,128,128,-0.05201666666666666
65,0.001,1.0,0.9,0.0,64,64,-0.05238333333333334
66,0.001,1.0,0.9,0.0,128,128,-0.0532
67,0.001,1.0,0.9,0.01,64,64,-0.05113333333333333
68,0.001,1.0,0.9,0.01,128,128,-0.050749999999999997
69,0.001,1.0,0.97,0.0,64,64,-0.0564
70,0.001,1.0,0.97,0.0,128,128,-0.05445
71,0.001,1.0,0.97,0.01,64,64,-0.055066666666666673
72,0.001,1.0,0.97,0.01,128,128,-0.05615
73,0.002,0.95,0.9,0.0,64,64,-0.055566666666666674
74,0.002,0.95,0.9,0.0,128,128,-0.05918333333333333
75,0.002,0.95,0.9,0.01,64,64,-0.05288333333333334
76,0.002,0.95,0.9,0.01,128,128,-0.051800000000000006
77,0.002,0.95,0.97,0.0,64,64,-0.05318333333333333
78,0.002,0.95,0.97,0.0,128,128,-0.058666666666666666
79,0.002,0.95,0.97,0.01,64,64,-0.05321666666666667
80,0.002,0.95,0.97,0.01,128,128,-0.055683333333333335
81,0.002,0.99,0.9,0.0,64,64,-0.05251666666666666
82,0.002,0.99,0.9,0.0,128,128,-0.06483333333333334
83,0.002,0.99,0.9,0.01,64,64,-0.05031666666666667
84,0.002,0.99,0.9,0.01,128,128,-0.05331666666666667
85,0.002,0.99,0.97,0.0,64,64,-0.05448333333333333
86,0.002,0.99,0.97,0.0,128,128,-0.05538333333333333
87,0.002,0.99,0.97,0.01,64,64,-0.05488333333333333
88,0.002,0.99,0.97,0.01,128,128,-0.054433333333333334
89,0.002,1.0,0.9,0.0,64,64,-0.05398333333333333
90,0.002,1.0,0.9,0.0,128,128,-0.05271666666666667
91,0.002,1.0,0.9,0.01,64,64,-0.05235
92,0.002,1.0,0.9,0.01,128,128,-0.054150000000000004
93,0.002,1.0,0.97,0.0,64,64,-0.0602
94,0.002,1.0,0.97,0.0,128,128,-0.05456666666666667
95,0.002,1.0,0.97,0.01,64,64,-0.05538333333333333
96,0.002,1.0,0.97,0.01,128,128,-0.051300000000000005
