step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.9175,-0.058,0.4276,0.0868,0.4856,1.4795
50000,50000,0.835,-0.0494,0.4279,0.0948,0.4773,1.5406
75000,75000,0.7525,-0.0629,0.4217,0.0937,0.4846,1.5406
100000,100000,0.67,-0.0523,0.426,0.0957,0.4783,1.543
125000,125000,0.5874999999999999,-0.0565,0.4228,0.0979,0.4793,1.5446
150000,150000,0.505,-0.0484,0.4265,0.0986,0.4749,1.5468
175000,175000,0.4225,-0.0555,0.4253,0.0939,0.4808,1.5768
200000,200000,0.3400000000000001,-0.0581,0.4221,0.0977,0.4802,1.5492
