step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.525,-0.06125,0.42475,0.08925,0.486,1.49695
50000,50000,0.050000000000000044,-0.0538,0.42585,0.0945,0.47965,1.5519
75000,75000,0.050000000000000044,-0.0626,0.4231,0.0912,0.4857,1.5245
100000,100000,0.050000000000000044,-0.0587,0.4236,0.0941,0.4823,1.55155
125000,125000,0.050000000000000044,-0.049,0.4281,0.0948,0.4771,1.57275
150000,150000,0.050000000000000044,-0.04835,0.4279,0.09585,0.47625,1.5612
175000,175000,0.050000000000000044,-0.05055,0.42665,0.09615,0.4772,1.55835
200000,200000,0.050000000000000044,-0.0596,0.42155,0.0973,0.48115,1.5764
225000,225000,0.050000000000000044,-0.06485,0.4213,0.09255,0.48615,1.56235
250000,250000,0.050000000000000044,-0.0541,0.42405,0.0978,0.47815,1.5897
275000,275000,0.050000000000000044,-0.06175,0.42125,0.09575,0.483,1.57495
300000,300000,0.050000000000000044,-0.0534,0.42475,0.0971,0.47815,1.5908
325000,325000,0.050000000000000044,-0.0509,0.42755,0.094,0.47845,1.5667
350000,350000,0.050000000000000044,-0.05415,0.42505,0.09575,0.4792,1.5826
375000,375000,0.050000000000000044,-0.0556,0.42595,0.0925,0.48155,1.56295
400000,400000,0.050000000000000044,-0.0594,0.42405,0.0925,0.48345,1.58545
425000,425000,0.050000000000000044,-0.0483,0.4286,0.0945,0.4769,1.59785
450000,450000,0.050000000000000044,-0.05995,0.4223,0.09545,0.48225,1.60655
475000,475000,0.050000000000000044,-0.058,0.42555,0.0909,0.48355,1.5688
500000,500000,0.050000000000000044,-0.05485,0.4257,0.09375,0.48055,1.57115
