step,episode,epsilon,eval_mean_return,win_rate,draw_rate,loss_rate,mean_len
25000,25000,0.7625,-0.0742,0.4175,0.0908,0.4917,1.4904
50000,50000,0.525,-0.05,0.4314,0.0872,0.4814,1.4989
75000,75000,0.2875000000000001,-0.0488,0.4294,0.0924,0.4782,1.5171
100000,100000,0.050000000000000044,-0.0612,0.4211,0.0966,0.4823,1.5488
125000,125000,0.050000000000000044,-0.0574,0.4236,0.0954,0.481,1.5339
150000,150000,0.050000000000000044,-0.0434,0.4323,0.092,0.4757,1.5066
175000,175000,0.050000000000000044,-0.0483,0.429,0.0937,0.4773,1.541
200000,200000,0.050000000000000044,-0.0492,0.4289,0.093,0.4781,1.5463
